Filename,Gender,Age,Distance_cm,Detection_Time_s
female1.jpg,Female,(25-32),45.87,0.079
female2.jpg,Female,(8-12),50.51,0.031
female4.jpg,Female,(38-43),52.63,0.031
female6.jpg,Male,(0-2),19.16,0.027
girl1.jpg,Female,(25-32),45.87,0.028
girl2.jpg,Female,(8-12),50.51,0.031
kid1.jpg,Male,(4-6),27.32,0.027
kid2.jpg,Female,(4-6),25.13,0.023
male10.jpg,Male,(25-32),20.92,0.027
male2.jpg,Male,(38-43),32.68,0.032
male3.jpg,Male,(25-32),29.07,0.033
male5.jpg,Male,(25-32),7.65,0.033
male5.jpg,Male,(25-32),7.89,0.032
male7.jpg,Male,(25-32),17.24,0.033
man1.jpg,Male,(38-43),32.68,0.033
man2.jpg,Male,(25-32),29.07,0.029
woman1.jpg,Female,(38-43),52.63,0.027
